RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
UMX,0.3921,0.06,0.002,0.022,0.036,0.102,0.156,0.1281,0.018,0.1121,0.0,0.032,0.07,0.252,0.062,0.054,0.01,0.214,0.012,0.018,0.012,0.01,0.034,0.012,0.01,0.018,0.018,0.0,0.0921,0.024,0.012,0.0795,0.222,0.0745,0.07,0.0,0.018,0.032,0.01,0.0239,0.3585,0.1158,0.1166,0.124,0.002,0.002,0.002,0.1782,0.068,0.0679,0.006,0.0581,0.018,0.006,0.018
LPC,0.318,0.028,0.0,0.0055,0.006,0.026,0.054,0.062,0.004,0.028,0.0,0.004,0.018,0.2,0.004,0.0,0.0,0.042,0.014,0.01,0.028,0.008,0.048,0.014,0.022,0.045,0.0747,0.002,0.034,0.124,0.04,0.318,0.1452,0.294,0.0265,0.014,0.002,0.014,0.034,0.012,0.084,0.014,0.098,0.104,0.022,0.0,0.018,0.1621,0.002,0.02,0.026,0.008,0.0228,0.0,0.06
SVD,0.228,0.014,0.0,0.002,0.036,0.2077,0.1939,0.2817,0.11,0.1958,0.024,0.056,0.058,0.2636,0.044,0.028,0.004,0.07,0.0495,0.0062,0.044,0.0218,0.016,0.006,0.01,0.018,0.028,0.012,0.1383,0.012,0.028,0.028,0.04,0.032,0.04,0.0319,0.032,0.028,0.026,0.012,0.056,0.006,0.088,0.056,0.018,0.024,0.03,0.3252,0.09,0.03,0.038,0.1444,0.024,0.024,0.0
LRH,0.118,0.004,0.002,0.006,0.042,0.0521,0.016,0.082,0.0,0.028,0.004,0.0,0.006,0.3424,0.012,0.0,0.002,0.044,0.03,0.014,0.056,0.0379,0.024,0.002,0.046,0.052,0.322,0.006,0.056,0.084,0.004,0.1651,0.064,0.218,0.0679,0.05,0.004,0.036,0.128,0.04,0.0711,0.008,0.038,0.042,0.004,0.0,0.006,0.486,0.008,0.058,0.012,0.006,0.004,0.002,0.01
MTJ,0.094,0.006,0.0,0.0,0.196,0.168,0.0281,0.0939,0.0079,0.25,0.002,0.016,0.118,0.1209,0.004,0.0,0.018,0.02,0.01,0.0,0.002,0.008,0.002,0.0,0.002,0.006,0.084,0.142,0.12,0.032,0.048,0.076,0.048,0.196,0.03,0.122,0.008,0.008,0.012,0.004,0.028,0.004,0.0479,0.036,0.042,0.002,0.118,0.5519,0.004,0.002,0.056,0.0179,0.004,0.008,0.008
KPZ,0.232,0.014,0.002,0.016,0.016,0.022,0.016,0.064,0.002,0.016,0.0,0.002,0.006,0.098,0.006,0.006,0.0,0.016,0.006,0.0,0.008,0.012,0.014,0.036,0.008,0.024,0.138,0.008,0.056,0.124,0.088,0.278,0.126,0.406,0.032,0.012,0.002,0.006,0.024,0.002,0.112,0.036,0.052,0.258,0.004,0.0,0.018,0.2,0.006,0.014,0.088,0.0,0.014,0.0,0.128
YGD,0.158,0.012,0.0,0.006,0.044,0.044,0.026,0.046,0.004,0.2,0.0,0.022,0.024,0.0971,0.002,0.0,0.002,0.02,0.01,0.006,0.0,0.006,0.018,0.0,0.006,0.004,0.076,0.042,0.08,0.166,0.05,0.2168,0.152,0.3272,0.026,0.02,0.012,0.008,0.02,0.006,0.1392,0.004,0.1392,0.132,0.126,0.0,0.058,0.298,0.018,0.008,0.048,0.002,0.014,0.002,0.048
VUO,0.178,0.018,0.0,0.0279,0.012,0.134,0.022,0.156,0.0,0.02,0.002,0.01,0.002,0.106,0.0,0.002,0.004,0.004,0.006,0.002,0.02,0.036,0.022,0.032,0.04,0.058,0.054,0.002,0.028,0.076,0.132,0.236,0.102,0.32,0.0301,0.006,0.002,0.014,0.054,0.006,0.096,0.028,0.036,0.226,0.006,0.002,0.002,0.442,0.002,0.044,0.016,0.002,0.102,0.0,0.122
TTE,0.4008,0.012,0.004,0.01,0.016,0.1687,0.0766,0.2067,0.024,0.254,0.026,0.156,0.028,0.2128,0.0952,0.018,0.02,0.058,0.02,0.0147,0.024,0.006,0.01,0.002,0.004,0.01,0.016,0.004,0.0978,0.01,0.006,0.032,0.066,0.06,0.086,0.0292,0.0713,0.018,0.0147,0.004,0.046,0.008,0.128,0.0456,0.04,0.018,0.0115,0.2127,0.0104,0.0148,0.008,0.0294,0.16,0.028,0.0221
YQW,0.24,0.018,0.004,0.0076,0.044,0.0739,0.018,0.0759,0.006,0.0885,0.018,0.024,0.0336,0.3804,0.0241,0.004,0.006,0.044,0.026,0.0,0.0723,0.014,0.024,0.004,0.0543,0.044,0.108,0.044,0.118,0.056,0.032,0.198,0.09,0.242,0.0439,0.024,0.02,0.01,0.042,0.02,0.066,0.014,0.122,0.078,0.016,0.002,0.03,0.3564,0.008,0.024,0.04,0.002,0.0244,0.006,0.014
STR,0.4352,0.0148,0.0336,0.002,0.01,0.1212,0.036,0.0643,0.006,0.2397,0.038,0.1212,0.012,0.3898,0.1492,0.0119,0.057,0.066,0.012,0.0445,0.0728,0.0023,0.006,0.008,0.0228,0.006,0.02,0.004,0.0521,0.004,0.0,0.038,0.062,0.062,0.2738,0.066,0.2165,0.0599,0.0205,0.0239,0.036,0.0142,0.0958,0.0488,0.006,0.016,0.01,0.2198,0.004,0.014,0.002,0.012,0.032,0.014,0.016
YTJ,0.116,0.004,0.004,0.0,0.1075,0.0772,0.0835,0.0802,0.008,0.176,0.01,0.022,0.072,0.2615,0.01,0.0,0.008,0.044,0.0352,0.002,0.03,0.01,0.004,0.0,0.022,0.014,0.1644,0.07,0.1343,0.026,0.03,0.062,0.04,0.112,0.032,0.1238,0.026,0.014,0.044,0.02,0.032,0.004,0.0361,0.0523,0.014,0.002,0.082,0.4726,0.014,0.0199,0.026,0.0309,0.0198,0.006,0.0
JTA,0.112,0.012,0.0,0.004,0.026,0.0414,0.04,0.092,0.0138,0.068,0.0,0.026,0.024,0.1097,0.0082,0.01,0.0002,0.014,0.004,0.0,0.002,0.002,0.014,0.008,0.002,0.006,0.0804,0.04,0.114,0.084,0.29,0.2482,0.05,0.1878,0.022,0.006,0.002,0.006,0.006,0.024,0.0558,0.028,0.1039,0.08,0.028,0.0,0.054,0.3123,0.004,0.136,0.12,0.008,0.006,0.002,0.014
USG,0.2938,0.01,0.006,0.002,0.03,0.0834,0.046,0.1355,0.006,0.268,0.01,0.076,0.056,0.1602,0.01,0.002,0.026,0.018,0.006,0.0,0.0,0.006,0.01,0.0,0.008,0.006,0.016,0.026,0.1203,0.094,0.066,0.122,0.062,0.164,0.046,0.018,0.052,0.008,0.014,0.01,0.074,0.006,0.168,0.074,0.08,0.004,0.028,0.3316,0.0,0.03,0.046,0.022,0.056,0.006,0.07
LUC,0.266,0.006,0.014,0.0,0.008,0.182,0.02,0.148,0.02,0.33,0.048,0.096,0.034,0.5335,0.0533,0.002,0.016,0.08,0.09,0.026,0.0908,0.02,0.052,0.01,0.1008,0.038,0.05,0.046,0.108,0.016,0.014,0.054,0.038,0.07,0.054,0.012,0.022,0.036,0.044,0.012,0.032,0.004,0.06,0.034,0.026,0.02,0.0765,0.4265,0.004,0.006,0.01,0.014,0.022,0.008,0.002
JVN,0.164,0.028,0.0,0.0098,0.01,0.042,0.072,0.038,0.002,0.028,0.002,0.014,0.006,0.52,0.006,0.004,0.002,0.032,0.014,0.002,0.026,0.024,0.09,0.054,0.03,0.022,0.3347,0.0,0.022,0.04,0.014,0.066,0.074,0.08,0.0242,0.01,0.01,0.03,0.036,0.038,0.07,0.028,0.038,0.064,0.008,0.0,0.0,0.1875,0.016,0.016,0.024,0.034,0.01,0.0,0.026
JPS,0.2781,0.024,0.002,0.006,0.028,0.1349,0.2003,0.1163,0.0173,0.0681,0.002,0.024,0.114,0.2656,0.0827,0.024,0.0067,0.09,0.0156,0.004,0.018,0.014,0.038,0.01,0.014,0.032,0.0679,0.004,0.1066,0.022,0.008,0.04,0.04,0.074,0.05,0.018,0.02,0.028,0.008,0.034,0.076,0.008,0.0774,0.114,0.008,0.0,0.014,0.255,0.116,0.0522,0.076,0.0936,0.044,0.002,0.01
OVF,0.3149,0.006,0.004,0.004,0.012,0.1714,0.0491,0.1347,0.02,0.29,0.0501,0.13,0.052,0.5931,0.0818,0.004,0.018,0.0807,0.0537,0.0401,0.124,0.0259,0.06,0.028,0.08,0.024,0.058,0.008,0.0739,0.008,0.004,0.018,0.008,0.032,0.066,0.024,0.0819,0.03,0.038,0.018,0.016,0.002,0.044,0.032,0.016,0.01,0.0296,0.3431,0.016,0.008,0.006,0.012,0.028,0.002,0.006
LXZ,0.1516,0.016,0.0,0.002,0.054,0.0756,0.05,0.0982,0.012,0.3096,0.012,0.0459,0.134,0.1899,0.012,0.0,0.07,0.03,0.032,0.004,0.0164,0.002,0.008,0.0,0.016,0.004,0.046,0.104,0.192,0.012,0.036,0.046,0.022,0.116,0.038,0.0598,0.018,0.012,0.018,0.006,0.016,0.004,0.0279,0.0261,0.008,0.02,0.062,0.464,0.004,0.022,0.036,0.022,0.016,0.004,0.002
PXT,0.234,0.02,0.0,0.014,0.01,0.0638,0.018,0.03,0.0,0.038,0.002,0.004,0.012,0.6174,0.02,0.004,0.0,0.11,0.056,0.0,0.204,0.03,0.034,0.018,0.044,0.1115,0.09,0.002,0.04,0.01,0.002,0.056,0.0426,0.0749,0.08,0.008,0.02,0.042,0.086,0.0958,0.042,0.014,0.0423,0.0363,0.02,0.0,0.002,0.3486,0.004,0.072,0.004,0.002,0.0445,0.0,0.012
JWQ,0.2691,0.032,0.0008,0.024,0.0338,0.1,0.1047,0.1232,0.0131,0.1401,0.008,0.046,0.044,0.2339,0.0609,0.018,0.01,0.05,0.016,0.016,0.04,0.006,0.008,0.002,0.014,0.0324,0.098,0.024,0.1221,0.028,0.028,0.104,0.078,0.132,0.0492,0.038,0.02,0.02,0.012,0.0379,0.106,0.034,0.073,0.092,0.046,0.002,0.048,0.3008,0.04,0.0318,0.05,0.0653,0.036,0.006,0.016
YWZ,0.4296,0.0216,0.0485,0.02,0.012,0.1015,0.016,0.03,0.006,0.1735,0.014,0.052,0.01,0.3995,0.0965,0.002,0.038,0.168,0.014,0.018,0.0936,0.0139,0.034,0.054,0.042,0.03,0.01,0.008,0.03,0.028,0.004,0.074,0.184,0.086,0.1825,0.006,0.1337,0.03,0.022,0.034,0.226,0.0518,0.11,0.054,0.006,0.0,0.014,0.2235,0.002,0.0164,0.002,0.002,0.03,0.016,0.002
JLG,0.234,0.014,0.004,0.016,0.012,0.024,0.01,0.036,0.0,0.024,0.0,0.006,0.002,0.1888,0.0057,0.002,0.002,0.0236,0.0088,0.002,0.0143,0.0094,0.022,0.02,0.0183,0.0556,0.1317,0.006,0.032,0.274,0.036,0.23,0.142,0.27,0.0556,0.014,0.0083,0.02,0.062,0.02,0.092,0.018,0.262,0.296,0.006,0.0,0.004,0.3728,0.002,0.028,0.016,0.002,0.0056,0.0,0.072
QFO,0.368,0.056,0.01,0.0239,0.022,0.036,0.01,0.048,0.002,0.1025,0.002,0.032,0.036,0.334,0.0265,0.0,0.006,0.062,0.022,0.0,0.08,0.04,0.022,0.008,0.024,0.0212,0.108,0.028,0.1,0.03,0.032,0.112,0.102,0.158,0.0937,0.008,0.036,0.026,0.046,0.0773,0.116,0.042,0.076,0.048,0.008,0.0,0.022,0.2692,0.012,0.034,0.024,0.002,0.0587,0.002,0.018
ITH,0.3574,0.022,0.012,0.03,0.014,0.1209,0.108,0.05,0.0,0.159,0.0,0.098,0.016,0.3241,0.0269,0.0089,0.004,0.04,0.018,0.004,0.026,0.016,0.074,0.036,0.024,0.0489,0.058,0.0,0.0836,0.02,0.016,0.076,0.059,0.082,0.0831,0.01,0.0479,0.0219,0.03,0.0452,0.0702,0.04,0.0829,0.098,0.014,0.006,0.01,0.2113,0.056,0.0211,0.018,0.018,0.038,0.0,0.016
PRY,0.172,0.004,0.004,0.002,0.03,0.07,0.022,0.08,0.006,0.236,0.012,0.052,0.104,0.2468,0.01,0.0,0.036,0.038,0.062,0.02,0.026,0.014,0.004,0.004,0.018,0.014,0.086,0.112,0.144,0.012,0.014,0.028,0.02,0.078,0.034,0.076,0.028,0.026,0.0319,0.0119,0.022,0.002,0.022,0.03,0.028,0.012,0.08,0.4521,0.002,0.002,0.006,0.006,0.016,0.024,0.0
NUQ,0.264,0.006,0.002,0.002,0.018,0.108,0.042,0.1259,0.012,0.2765,0.032,0.094,0.086,0.47,0.034,0.0,0.014,0.092,0.0755,0.0321,0.064,0.012,0.048,0.008,0.054,0.03,0.086,0.038,0.104,0.042,0.018,0.07,0.074,0.076,0.052,0.018,0.05,0.03,0.04,0.012,0.064,0.004,0.048,0.024,0.026,0.006,0.0795,0.426,0.004,0.01,0.004,0.01,0.03,0.002,0.002
JMX,0.1831,0.002,0.006,0.002,0.05,0.1578,0.1151,0.1568,0.0201,0.198,0.018,0.036,0.084,0.1045,0.026,0.012,0.03,0.02,0.0045,0.004,0.006,0.0,0.008,0.002,0.004,0.004,0.024,0.036,0.1987,0.046,0.086,0.088,0.0743,0.13,0.022,0.0358,0.01,0.002,0.004,0.0049,0.0191,0.006,0.142,0.0791,0.11,0.006,0.042,0.2981,0.006,0.02,0.114,0.0775,0.0157,0.012,0.002
EMK,0.1968,0.014,0.006,0.022,0.028,0.04,0.018,0.0599,0.002,0.062,0.004,0.016,0.06,0.25,0.012,0.0,0.002,0.124,0.008,0.006,0.022,0.006,0.02,0.01,0.026,0.022,0.108,0.046,0.096,0.08,0.024,0.2262,0.222,0.2278,0.056,0.022,0.02,0.038,0.032,0.0452,0.2986,0.082,0.0718,0.0728,0.006,0.008,0.04,0.2772,0.006,0.016,0.016,0.002,0.016,0.0,0.018
INK,0.4638,0.01,0.0966,0.002,0.0,0.164,0.02,0.046,0.012,0.1846,0.002,0.1891,0.002,0.1712,0.1946,0.01,0.1131,0.044,0.004,0.004,0.012,0.004,0.002,0.002,0.002,0.0,0.0,0.0,0.022,0.006,0.002,0.05,0.052,0.014,0.2869,0.01,0.2969,0.02,0.002,0.016,0.094,0.028,0.0929,0.026,0.0,0.0,0.002,0.1178,0.002,0.0054,0.002,0.006,0.022,0.02,0.006
WCH,0.188,0.004,0.0,0.002,0.016,0.112,0.0521,0.0999,0.006,0.168,0.01,0.038,0.028,0.4815,0.018,0.002,0.03,0.088,0.0759,0.008,0.07,0.036,0.024,0.004,0.086,0.022,0.1721,0.044,0.09,0.022,0.046,0.1137,0.064,0.126,0.038,0.01,0.012,0.018,0.064,0.008,0.0417,0.008,0.078,0.1014,0.014,0.004,0.034,0.3855,0.018,0.014,0.022,0.0281,0.01,0.002,0.002
TOY,0.4181,0.006,0.006,0.004,0.012,0.136,0.018,0.078,0.006,0.242,0.044,0.064,0.022,0.5679,0.0659,0.016,0.0319,0.0819,0.048,0.028,0.124,0.02,0.09,0.154,0.116,0.024,0.014,0.02,0.0679,0.006,0.004,0.014,0.022,0.042,0.0861,0.012,0.096,0.03,0.02,0.014,0.024,0.006,0.04,0.026,0.014,0.014,0.016,0.242,0.006,0.008,0.0,0.008,0.02,0.006,0.002
ZBS,0.1979,0.014,0.0,0.002,0.034,0.204,0.0421,0.2625,0.0359,0.1527,0.01,0.024,0.016,0.152,0.042,0.01,0.01,0.022,0.0398,0.0066,0.008,0.004,0.002,0.0,0.0,0.006,0.032,0.014,0.138,0.066,0.054,0.122,0.04,0.152,0.0299,0.0098,0.0027,0.002,0.002,0.004,0.028,0.004,0.212,0.113,0.048,0.028,0.0451,0.2108,0.004,0.012,0.042,0.0559,0.044,0.016,0.002
VRJ,0.2699,0.014,0.002,0.006,0.02,0.1834,0.1173,0.286,0.0341,0.1841,0.012,0.058,0.0263,0.1605,0.1083,0.016,0.014,0.0823,0.0287,0.004,0.012,0.004,0.012,0.006,0.002,0.01,0.0195,0.004,0.1093,0.018,0.024,0.05,0.038,0.07,0.03,0.006,0.018,0.008,0.006,0.002,0.076,0.014,0.1357,0.034,0.02,0.024,0.022,0.1596,0.0127,0.008,0.074,0.0657,0.014,0.022,0.008
GLM,0.1913,0.016,0.0,0.004,0.054,0.1599,0.1226,0.2443,0.024,0.128,0.0113,0.032,0.044,0.1283,0.0237,0.006,0.004,0.028,0.016,0.0,0.0133,0.002,0.008,0.002,0.004,0.006,0.026,0.014,0.3342,0.022,0.108,0.042,0.024,0.0687,0.0366,0.002,0.0047,0.006,0.0087,0.008,0.018,0.0,0.0773,0.044,0.036,0.006,0.032,0.2362,0.0219,0.0479,0.226,0.114,0.0347,0.006,0.002
ETS,0.2299,0.014,0.002,0.002,0.004,0.058,0.004,0.074,0.002,0.1141,0.022,0.054,0.014,0.236,0.204,0.004,0.088,0.06,0.008,0.0161,0.0159,0.0,0.0,0.004,0.022,0.002,0.002,0.0,0.042,0.004,0.002,0.042,0.302,0.03,0.5419,0.064,0.4299,0.03,0.002,0.01,0.3,0.014,0.078,0.018,0.014,0.028,0.022,0.132,0.0,0.004,0.0,0.0,0.016,0.008,0.004
YTH,0.41,0.01,0.0,0.022,0.006,0.04,0.008,0.018,0.0,0.06,0.006,0.008,0.012,0.772,0.016,0.0,0.004,0.126,0.048,0.0,0.264,0.012,0.036,0.02,0.152,0.13,0.19,0.014,0.028,0.008,0.004,0.046,0.024,0.156,0.094,0.01,0.01,0.014,0.144,0.04,0.042,0.014,0.016,0.03,0.014,0.0,0.008,0.344,0.004,0.016,0.008,0.0,0.012,0.0,0.006
HSX,0.304,0.006,0.022,0.002,0.0,0.024,0.012,0.014,0.008,0.1438,0.002,0.0786,0.006,0.16,0.136,0.002,0.1006,0.104,0.008,0.004,0.01,0.004,0.004,0.002,0.004,0.008,0.002,0.0,0.006,0.0,0.0,0.156,0.436,0.006,0.4266,0.012,0.3074,0.02,0.004,0.008,0.524,0.01,0.1414,0.044,0.0,0.002,0.002,0.118,0.0,0.0,0.002,0.0,0.006,0.012,0.002
KLS,0.346,0.012,0.016,0.008,0.01,0.1591,0.072,0.12,0.014,0.208,0.016,0.0542,0.024,0.21,0.052,0.024,0.002,0.036,0.022,0.002,0.012,0.0,0.018,0.002,0.0182,0.008,0.0408,0.022,0.1462,0.03,0.054,0.124,0.098,0.1628,0.0428,0.004,0.006,0.004,0.008,0.002,0.066,0.006,0.1479,0.0441,0.02,0.004,0.01,0.2447,0.0,0.0432,0.0556,0.029,0.036,0.008,0.016
CYI,0.2081,0.0039,0.002,0.0,0.078,0.1099,0.046,0.1239,0.008,0.384,0.02,0.056,0.024,0.2096,0.062,0.004,0.016,0.022,0.012,0.014,0.0199,0.0,0.006,0.004,0.008,0.016,0.016,0.106,0.2157,0.02,0.046,0.038,0.032,0.086,0.024,0.0159,0.016,0.012,0.004,0.014,0.028,0.002,0.068,0.026,0.026,0.0021,0.094,0.4321,0.0,0.0381,0.0445,0.018,0.018,0.006,0.012
VGG,0.306,0.02,0.002,0.014,0.018,0.0839,0.038,0.036,0.008,0.094,0.002,0.026,0.012,0.3464,0.034,0.002,0.006,0.044,0.022,0.002,0.038,0.03,0.12,0.078,0.042,0.0318,0.066,0.0,0.04,0.012,0.008,0.036,0.0424,0.066,0.078,0.014,0.028,0.054,0.074,0.06,0.1339,0.01,0.0762,0.068,0.014,0.0,0.008,0.182,0.008,0.032,0.014,0.004,0.0356,0.004,0.022
STM,0.154,0.004,0.004,0.0,0.078,0.0961,0.024,0.11,0.002,0.2969,0.008,0.01,0.058,0.2316,0.004,0.0,0.02,0.028,0.028,0.008,0.024,0.006,0.01,0.0,0.03,0.01,0.076,0.224,0.1964,0.044,0.058,0.078,0.042,0.08,0.024,0.032,0.01,0.038,0.016,0.0,0.032,0.012,0.048,0.032,0.026,0.0,0.144,0.5229,0.0,0.004,0.014,0.004,0.02,0.012,0.0
PSA,0.1745,0.014,0.0,0.0,0.026,0.1835,0.1219,0.2521,0.1026,0.219,0.016,0.042,0.036,0.2559,0.048,0.0155,0.008,0.042,0.0339,0.0122,0.018,0.018,0.018,0.008,0.008,0.024,0.026,0.022,0.1291,0.006,0.012,0.016,0.012,0.046,0.0285,0.0533,0.024,0.03,0.016,0.004,0.014,0.0,0.0737,0.038,0.0184,0.016,0.036,0.3905,0.032,0.008,0.036,0.1509,0.01,0.0265,0.0
XAY,0.13,0.002,0.0,0.002,0.072,0.0836,0.012,0.1199,0.008,0.1944,0.004,0.026,0.058,0.1115,0.02,0.002,0.036,0.012,0.006,0.004,0.006,0.002,0.004,0.0,0.006,0.0,0.057,0.098,0.1126,0.054,0.032,0.118,0.13,0.224,0.03,0.0699,0.004,0.012,0.008,0.0056,0.164,0.042,0.056,0.04,0.042,0.002,0.124,0.4834,0.002,0.01,0.0391,0.0149,0.014,0.01,0.008
XOD,0.296,0.016,0.0,0.0,0.006,0.166,0.066,0.2821,0.016,0.236,0.0502,0.1,0.008,0.266,0.12,0.004,0.034,0.038,0.018,0.0422,0.0278,0.006,0.008,0.01,0.026,0.006,0.006,0.004,0.056,0.014,0.002,0.022,0.04,0.032,0.1382,0.03,0.1698,0.034,0.016,0.008,0.024,0.004,0.1161,0.052,0.048,0.078,0.022,0.1899,0.006,0.0079,0.002,0.0181,0.0639,0.042,0.0162
QQE,0.3781,0.0253,0.0228,0.002,0.002,0.2255,0.052,0.0619,0.004,0.2883,0.01,0.126,0.004,0.2718,0.154,0.01,0.148,0.0283,0.016,0.006,0.034,0.0067,0.048,0.044,0.032,0.006,0.0,0.0,0.2679,0.0,0.0,0.01,0.016,0.036,0.1757,0.014,0.21,0.062,0.008,0.056,0.03,0.008,0.1966,0.1311,0.002,0.002,0.012,0.1562,0.014,0.0,0.0,0.01,0.01,0.002,0.0127
PZC,0.188,0.018,0.0023,0.012,0.0135,0.0755,0.094,0.0405,0.0,0.026,0.002,0.002,0.004,0.2664,0.02,0.004,0.004,0.022,0.01,0.002,0.01,0.0096,0.238,0.05,0.07,0.028,0.067,0.002,0.022,0.046,0.006,0.0895,0.092,0.098,0.0437,0.008,0.01,0.02,0.048,0.032,0.1035,0.046,0.058,0.082,0.014,0.0,0.002,0.2176,0.006,0.02,0.0176,0.022,0.024,0.002,0.068
