RedJade Code,Green,Grassy,Cucumber,Tomato,Hay,Herbal,Mint,Woody,Pine,Floral,Jasmine,Rose,Honey,Fruity,Citrus,Lemon,Orange,Tropical,Berry,Peach,Apple,Sour,Fermented,Alcoholic,Winey,Rummy,Caramellic,Vanilla,Spicy,Coffee,Smoky,Roasted,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sulfurous,Garlic,Earthy,Musty,Animal,Musk,Powdery,Sweet,Cooling,Sharp,Medicinal,Camphoreous,Metallic,Ozone,Fishy
OVF,0.1005,0.0,0.0,0.0,0.0,0.2526,0.2956,0.7015,0.1515,0.3032,0.0,0.0,0.0,0.2539,0.0481,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514,0.0,0.0,0.0,0.0,0.0,0.0482,0.0482,0.0,0.0971,0.0,0.0486,0.0489,0.0,0.0,0.2098,0.0,0.0,0.0
LXZ,0.0992,0.0,0.0,0.0,0.0,0.2433,0.0,0.049,0.0,0.4474,0.0,0.1488,0.1964,0.2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,0.0543,0.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,0.0,0.0477,0.5446,0.0,0.0,0.1537,0.0,0.0995,0.0,0.0
PXT,0.0961,0.0,0.0,0.0481,0.0,0.1452,0.0978,0.1927,0.0,0.1064,0.0,0.0,0.0,0.5111,0.0554,0.0,0.0,0.0979,0.1447,0.0,0.1051,0.051,0.0487,0.0487,0.0979,0.0571,0.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,0.0,0.0,0.051,0.1499,0.1473,0.048,0.0,0.0481,0.0487,0.05,0.0,0.0,0.204,0.05,0.0,0.0,0.0,0.0484,0.0,0.0
JWQ,0.5098,0.0,0.0,0.0,0.0,0.339,0.0,0.5771,0.0499,0.351,0.2067,0.0632,0.0701,0.4694,0.0454,0.0,0.0,0.0,0.0,0.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,0.0,0.0,0.0,0.0453,0.2406,0.0,0.0,0.0,0.0464,0.0,0.0971,0.0
YWZ,0.1565,0.0,0.0471,0.0,0.0,0.0,0.0,0.0,0.0,0.0471,0.0,0.0,0.0,0.4009,0.0,0.0,0.0,0.0957,0.0464,0.0,0.0,0.0,0.0,0.1199,0.0,0.0,0.0,0.0,0.0,0.0491,0.0,0.0971,0.3949,0.0614,0.0943,0.0,0.0,0.0,0.0,0.0,0.3943,0.1536,0.0467,0.0,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JLG,0.498,0.0999,0.0,0.0501,0.0,0.0484,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0498,0.4509,0.0994,0.749,0.0959,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.4957,0.258,0.0,0.0,0.0,0.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0997
QFO,0.5589,0.0,0.4536,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0991,0.0498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5421,0.0,0.1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002,0.0,0.0,0.0,0.0,0.0487,0.0,0.0976
ITH,0.2455,0.0948,0.0,0.0,0.0,0.1429,0.0479,0.0551,0.0,0.4551,0.0,0.1424,0.0467,0.3606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0466,0.0,0.0,0.0,0.0,0.0479,0.0,0.0,0.0,0.0,0.0469,0.0,0.0,0.0,0.0,0.0,0.0462,0.0,0.1903,0.2385,0.1032,0.3121,0.0469,0.0,0.0,0.0,0.0467,0.0,0.0
PRY,0.1572,0.0,0.0,0.0,0.0,0.0989,0.0,0.0994,0.0,0.5492,0.0499,0.1073,0.0982,0.3978,0.0,0.0,0.0,0.0,0.0494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0499,0.0,0.0,0.3936,0.0,0.0483,0.1018,0.0,0.1059,0.0,0.0
NUQ,0.0478,0.0,0.0,0.0,0.0,0.0486,0.0965,0.1442,0.0,0.0,0.0,0.0,0.0,0.3617,0.0,0.0,0.0,0.0493,0.0,0.0,0.0494,0.0525,0.1573,0.0,0.0532,0.1063,0.106,0.0,0.0465,0.0,0.0479,0.0493,0.0493,0.0498,0.0468,0.0,0.0,0.0,0.0,0.0525,0.0961,0.0,0.0486,0.0524,0.0479,0.0,0.0,0.0,0.0,0.0,0.0941,0.0507,0.0,0.0,0.0
JMX,0.0516,0.0,0.0,0.0,0.05,0.1424,0.0951,0.0951,0.0,0.2749,0.0,0.0449,0.155,0.182,0.0497,0.0,0.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0464,0.0,0.0,0.0451,0.0,0.1001,0.0466,0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0501,0.1101,0.07,0.0,0.3399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMK,0.2007,0.0,0.0,0.0573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469,0.0,0.0,0.0,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474,0.0,0.0,0.0486,0.1998,0.0,0.0,0.0,0.0,0.1112,0.0,0.0601,0.7131,0.4399,0.0491,0.0491,0.0,0.0,0.0,0.1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INK,0.3592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657,0.0,0.3642,0.0,0.3767,0.3164,0.0,0.0602,0.0514,0.0,0.0,0.0537,0.0,0.0,0.0,0.1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493,0.6869,0.0493,0.5509,0.0438,0.0426,0.0,0.0,0.0,0.0438,0.0,0.0,0.0,0.0,0.0955,0.0,0.0,0.0,0.0,0.0,0.0462,0.0
WCH,0.1005,0.0,0.0,0.0,0.0,0.1536,0.0977,0.2411,0.0,0.1513,0.0,0.104,0.0545,0.6966,0.0994,0.0,0.0,0.0476,0.0969,0.0,0.1481,0.0,0.0,0.0,0.0513,0.0,0.103,0.0,0.0995,0.0,0.0,0.0,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.4132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOY,0.676,0.0,0.0419,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.0,0.0,0.0,0.5406,0.0409,0.0,0.0,0.0419,0.0,0.0,0.213,0.0,0.2437,0.1327,0.0409,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0609,0.0408,0.1849,0.0,0.0828,0.0,0.0424,0.0,0.0506,0.0,0.0408,0.0,0.0,0.0,0.0,0.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.0419
ZBS,0.0979,0.0,0.0,0.0,0.0497,0.1613,0.0981,0.0486,0.0,0.1977,0.0,0.0993,0.0497,0.0997,0.0,0.0,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487,0.0,0.1458,0.0,0.147,0.05,0.0988,0.1011,0.0487,0.0,0.0978,0.0,0.0,0.0,0.0988,0.0988,0.1005,0.0989,0.0986,0.0,0.0497,0.1989,0.0,0.0,0.1962,0.0495,0.0491,0.0,0.0
VRJ,0.1825,0.0,0.0,0.0,0.094,0.043,0.0834,0.4183,0.0,0.1719,0.0,0.0675,0.0,0.0522,0.0,0.0,0.0,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467,0.0,0.2389,0.0463,0.1924,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0891,0.1114,0.1155,0.0,0.1828,0.0,0.0418,0.1555,0.0673,0.0,0.0,0.0886
GLM,0.2001,0.0,0.0,0.0,0.0,0.0496,0.0,0.2484,0.0,0.3845,0.0,0.0494,0.0476,0.0946,0.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.0448,0.1462,0.0,0.1931,0.0,0.0448,0.0,0.0552,0.0,0.0,0.0,0.0,0.0,0.0448,0.0448,0.1116,0.0501,0.057,0.0,0.0,0.2366,0.0,0.0,0.2612,0.0,0.0,0.0,0.0
ETS,0.0447,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.1906,0.0455,0.0441,0.0504,0.1938,0.1392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971,0.0,0.429,0.1021,0.723,0.0914,0.0,0.0,0.0971,0.0,0.0504,0.0,0.0,0.0447,0.0,0.0979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YTH,0.4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.9079,0.0668,0.0,0.0,0.0436,0.0471,0.0,0.3746,0.0,0.0903,0.0432,0.1534,0.1149,0.3595,0.0,0.0,0.0432,0.0,0.1266,0.0436,0.1294,0.048,0.0,0.0,0.0,0.0932,0.0,0.0868,0.0,0.0,0.0432,0.0,0.0,0.0,0.2239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSX,0.0365,0.0,0.0,0.0,0.0,0.0376,0.0,0.0385,0.0,0.1645,0.0361,0.0442,0.0421,0.1189,0.1956,0.0,0.0781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0706,0.3574,0.0376,0.4807,0.0797,0.4787,0.0737,0.0,0.0,0.3574,0.0,0.0797,0.0,0.0,0.0,0.0,0.1694,0.0,0.0,0.0,0.0,0.0365,0.0,0.0
KLS,0.0834,0.0,0.0,0.0,0.0485,0.0485,0.0485,0.0874,0.0,0.281,0.0418,0.0433,0.1474,0.3118,0.0,0.0,0.0,0.0418,0.0751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0863,0.178,0.0,0.1824,0.0944,0.1507,0.1771,0.0,0.0,0.0,0.0,0.0,0.0,0.1507,0.0499,0.2096,0.0906,0.0,0.0,0.1827,0.4514,0.0,0.0,0.3135,0.0,0.0416,0.0,0.0
CYI,0.2261,0.0,0.0,0.0,0.2102,0.0461,0.0,0.0456,0.0,0.4146,0.0598,0.0983,0.0,0.1429,0.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923,0.195,0.0,0.0,0.0,0.0,0.1642,0.0,0.0,0.0,0.0,0.0,0.0,0.0491,0.0,0.0,0.0446,0.045,0.0,0.2086,0.606,0.0,0.0597,0.0,0.0,0.0,0.0,0.0
VGG,0.1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0903,0.0,0.0,0.0,0.2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513,0.2456,0.2459,0.0,0.0,0.0,0.0,0.0,0.0,0.0578,0.0,0.0,0.0578,0.0,0.0,0.0,0.0,0.0,0.1046,0.0,0.0,0.048,0.0,0.0,0.0,0.1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0998
STM,0.1569,0.0479,0.0,0.0,0.0,0.204,0.0972,0.0,0.0,0.2892,0.0,0.0,0.0,0.3951,0.0,0.0,0.0971,0.0,0.053,0.0,0.0,0.0,0.0479,0.0,0.1991,0.0,0.051,0.2101,0.1573,0.0,0.0483,0.0965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0951,0.0,0.0,0.1941,0.6549,0.0,0.0,0.0,0.0,0.0483,0.0,0.0
PSA,0.1496,0.0507,0.0,0.0,0.0,0.0998,0.249,0.549,0.0974,0.106,0.0,0.0493,0.0,0.1962,0.0534,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483,0.0,0.0,0.1459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1004,0.0974,0.1029,0.0493,0.0,0.0988,0.1506,0.0,0.1014,0.0993,0.0,0.052,0.0
XAY,0.0,0.0,0.0,0.0,0.0466,0.0493,0.0,0.1058,0.0,0.3051,0.0,0.0,0.0512,0.0509,0.0,0.0,0.1954,0.0509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0522,0.0522,0.0507,0.0,0.0,0.0,0.0509,0.0,0.0,0.11,0.0,0.1051,0.0474,0.0926,0.0,0.1444,0.3958,0.0,0.0,0.0967,0.0969,0.0,0.0,0.0472
XOD,0.2457,0.0,0.0,0.0,0.0,0.1197,0.22,0.1945,0.0,0.1893,0.0,0.045,0.0933,0.3409,0.0,0.0,0.0,0.0958,0.0976,0.0,0.045,0.0,0.1705,0.0,0.0,0.0,0.0459,0.0,0.0,0.0511,0.0,0.0449,0.1612,0.0449,0.0459,0.0,0.091,0.0,0.0,0.0943,0.0,0.1102,0.0429,0.142,0.0,0.0,0.0459,0.1981,0.0922,0.0459,0.0,0.0628,0.0484,0.1054,0.0449
